,0,Company Code,Revenue,Gross Profit,Operating Expense,Profit from Operating Activities,Income Tax Expense,Net Income,Other Comprehensive Income,Total Equity,Current Liabilities,Non-current Liabilities,Total Liabilities,Cash and Cash Equivalents,Inventories,Property Plant and Equipment,Current Assets,Non-current Assets,Total Assets,Operating Cash Flows,Investing Cash Flows,Financing Cash Flows,Basic EPS
0,2330,2330,1031473557000,497874253000,112149280000,383623524000,46325857000,351184406000,9836976000,1677496396000,340542586000,72089056000,412631642000,577814601000,103230976000,1072050279000,951679721000,1138448317000,2090128038000,573954308000,-314268908000,-245124791000,13.54
1,2331,2331,31796016000,2516987000,2840571000,-323584000,7286000,22014000,-55644000,11171364000,11845410000,483609000,12329019000,4175393000,3351560000,2854471000,16896467000,6603916000,23500383000,-722945000,692423000,-586540000,0.04
2,2332,2332,19383203000,5601988000,5353017000,248971000,151944000,145453000,-115769000,9616932000,7663344000,326547000,7989891000,4424864000,3111559000,1101557000,12329689000,5277134000,17606823000,978672000,87000000,-304498000,0.16
3,2337,2337,36953032000,13926319000,7416981000,6509338000,271538000,8992849000,-943048000,31360357000,20152229000,7536235000,27688464000,13611502000,17949234000,19308675000,36677290000,22371531000,59048821000,10091608000,-4851973000,-621883000,4.94
4,2338,2338,2885982000,629008000,369472000,259536000,57826000,145820000,1299000,2573811000,1238297000,52210000,1290507000,563408000,408575000,966563000,1734383000,2129935000,3864318000,-159439000,-412757000,497998000,1.02
5,2340,2340,5364610000,1621872000,883865000,738007000,126854000,653141000,264514000,7530848000,2126506000,536978000,2663484000,2690226000,1331401000,3071603000,5973084000,4221248000,10194332000,739828000,-83961000,-518289000,1.47
6,2342,2342,1852559000,355076000,228975000,126101000,1963000,183545000,-6059000,2335092000,1228869000,134106000,1362975000,1805364000,194770000,316888000,2515806000,1182261000,3698067000,246805000,-119783000,774714000,1.54
7,2344,2344,51190323000,19151103000,11224406000,7926697000,667242000,7727658000,-1738472000,63891097000,16469744000,15681623000,32151367000,12559631000,10908106000,52484183000,37528246000,58514218000,96042464000,13533242000,-17062131000,1854434000,1.87
8,2345,2345,43092155000,7780097000,4307389000,3472708000,745558000,2952181000,-74110000,10278596000,12068256000,31475000,12099731000,4295816000,7814290000,966604000,20873566000,1504761000,22378327000,2055260000,473693000,-2250313000,5.33
9,2347,2347,383194939000,14498104000,9085856000,5412248000,1065475000,6912660000,-1017546000,49359900000,97360284000,798185000,98158469000,5674663000,40799936000,6919339000,117682601000,29835768000,147518369000,-631184000,1202346000,-62623000,3.96
10,2348,2348,1129958000,666217000,214073000,452144000,11962000,460258000,-29610000,1455713000,918230000,46200000,964430000,588361000,472674000,805000,1959420000,460723000,2420143000,-45978000,-97713000,120895000,5.39
11,2349,2349,9358661000,547602000,1579361000,-1031759000,181364000,-1234502000,-192485000,13207464000,5776153000,4711158000,10487311000,3497738000,2778797000,12509656000,8486808000,15207967000,23694775000,-295219000,-1310461000,1236097000,-1.01
12,2351,2351,10416495000,1931458000,832364000,1099094000,251651000,888569000,-29660000,6023995000,3582590000,1775030000,5357620000,995674000,2866122000,4762760000,6226621000,5154994000,11381615000,1635268000,-1015015000,-376627000,4.55
13,2352,2352,155783161000,19242976000,14666817000,4576159000,1162457000,4450654000,151082000,39859646000,61335721000,18611916000,79947637000,9618657000,25063054000,21013038000,66193691000,53613592000,119807283000,8958266000,-4683709000,-1897789000,2.05
14,2353,2353,242270406000,25828199000,22256745000,3738489000,1350420000,2901960000,-192878000,58986286000,86816928000,8186196000,95003124000,27283038000,42076409000,3846752000,123120995000,30868415000,153989410000,-2132143000,-142151000,-4621360000,1.01
15,2354,2354,142057432000,13492743000,4886359000,8606384000,2181604000,9150847000,-39030627000,99589934000,56020510000,720121000,56740631000,52191701000,2905442000,7404149000,107023860000,49306705000,156330565000,11749938000,-4396850000,-15176525000,6.47
16,2355,2355,20173888000,2075859000,1180806000,895053000,212844000,162225000,7716000,15461472000,7047242000,647120000,7694362000,4077954000,3648971000,7117745000,14306924000,8848910000,23155834000,1841431000,-874685000,-1289769000,0.41
17,2356,2356,506884018000,23881584000,16390869000,7490715000,2814266000,5318996000,-914777000,57721517000,140692415000,7389990000,148082405000,25062511000,42938996000,30324516000,167904434000,37899488000,205803922000,-5535548000,14129347000,-10535434000,1.81
18,2357,2357,354187665000,52014276000,35038642000,16975634000,3643418000,5272496000,-7613160000,167691924000,162689625000,11784327000,174473952000,63972548000,94259039000,16733866000,254924246000,87241630000,342165876000,5169922000,-3587643000,-11269762000,5.70
19,2358,2358,2332162000,184383000,100138000,84245000,-15576000,70331000,-843000,1235930000,542489000,795799000,1338288000,59002000,893382000,645025000,1797771000,776447000,2574218000,-454171000,-145064000,633198000,0.77
20,2359,2359,3948938000,780604000,629923000,150681000,57571000,316809000,240000,4776080000,1289740000,25310000,1315050000,1944339000,602255000,547938000,4367681000,1723449000,6091130000,200992000,-32084000,76456000,1.65
21,2360,2360,16931128000,7458293000,4418660000,3039633000,760911000,2547179000,3487000,14690349000,5972513000,2539602000,8512115000,2923957000,2416814000,3389889000,13231273000,9971191000,23202464000,1265787000,-1834540000,-1631337000,6.22
22,2362,2362,19796072000,5280363000,3813514000,1466849000,899316000,1456359000,-607003000,41857130000,19063643000,51539084000,70602727000,7796543000,7896031000,9970165000,25591179000,86868678000,112459857000,-51336000,-2356766000,2941675000,2.32
23,2363,2363,223085000,44341000,433605000,-389264000,15847000,-175218000,-975911000,6290089000,88501000,5867000,94368000,1141306000,84914000,761919000,1289063000,5095394000,6384457000,-351383000,671789000,-220658000,-0.32
24,2364,2364,919537000,234154000,279567000,-45413000,-37000,-84926000,-2061000,330580000,784758000,14044000,798802000,154279000,227337000,298540000,507724000,621658000,1129382000,-68953000,-19001000,87005000,-0.35
25,2365,2365,2019780000,448293000,489613000,-41320000,25139000,95119000,-257994000,3168811000,1043730000,452296000,1496026000,1295538000,178549000,618370000,1885276000,2779561000,4664837000,231725000,-341783000,-194257000,0.40
26,2367,2367,19539609000,2707764000,1896191000,811573000,92152000,639123000,-140578000,9898944000,7461565000,4886047000,12347612000,1046976000,2154577000,12094749000,8353142000,13893414000,22246556000,2651203000,-2128189000,-117532000,1.06
